roos,heino,zenner,janik,andres,philip,volker,emi,fabian,tomasz
7,7,6,6,6,7,6.5,5,6,6
5,6,3.5,6,5,7,6,5,4,5
6,6,3.5,4,6.5,7,7,5,3,4
